commit_sha,refactoring_type,instance_count,is_self_affirmed
032cdd57718007e9ae48aeb5d39ef73e6284df3a,Add Attribute Annotation,5,False
032cdd57718007e9ae48aeb5d39ef73e6284df3a,Change Attribute Type,10,False
032cdd57718007e9ae48aeb5d39ef73e6284df3a,Change Parameter Type,14,False
032cdd57718007e9ae48aeb5d39ef73e6284df3a,Modify Attribute Annotation,5,False
0331565ed3326fbf6f8e5aff7bf786b9ca219044,Extract Method,3,False
0336afecaf30ec989fdb4d1947190780de857b4a,Extract Method,1,False
033d62fd7e5447639374838c46227f0f25dd0f0f,Extract Method,1,False
033e714474e7b79d7087bfe82fe836514f365bb8,Change Parameter Type,2,False
0341e32bc0f2dcbd02cd3af9f46d0605450f2394,Add Parameter,1,False
0341e32bc0f2dcbd02cd3af9f46d0605450f2394,Change Attribute Type,12,False
0341e32bc0f2dcbd02cd3af9f46d0605450f2394,Change Class Access Modifier,1,False
0341e32bc0f2dcbd02cd3af9f46d0605450f2394,Change Parameter Type,115,False
0341e32bc0f2dcbd02cd3af9f46d0605450f2394,Change Return Type,63,False
0341e32bc0f2dcbd02cd3af9f46d0605450f2394,Change Variable Type,165,False
0341e32bc0f2dcbd02cd3af9f46d0605450f2394,Extract Class,1,False
0341e32bc0f2dcbd02cd3af9f46d0605450f2394,Move And Rename Method,1,False
0341e32bc0f2dcbd02cd3af9f46d0605450f2394,Move Method,3,False
0341e32bc0f2dcbd02cd3af9f46d0605450f2394,Remove Parameter,2,False
0341e32bc0f2dcbd02cd3af9f46d0605450f2394,Rename Variable,1,False
03464551f417b91573c1db43049fa400a3537d52,Change Variable Type,2,False
03464551f417b91573c1db43049fa400a3537d52,Modify Parameter Annotation,1,False
03464551f417b91573c1db43049fa400a3537d52,Remove Thrown Exception Type,3,False
03464551f417b91573c1db43049fa400a3537d52,Rename Variable,2,False
034a005610a3019d3d4819b41170f6db3af74691,Rename Method,1,False
0350ccf21ea1128bb315fcc13c3881333acb6664,Add Class Annotation,1,False
0350ccf21ea1128bb315fcc13c3881333acb6664,Add Method Annotation,6,False
0357ce5730cdc3f788d39c5a045b2e58b9b5fa58,Change Attribute Type,1,False
0357ce5730cdc3f788d39c5a045b2e58b9b5fa58,Change Parameter Type,1,False
0357ce5730cdc3f788d39c5a045b2e58b9b5fa58,Rename Attribute,1,False
0357ce5730cdc3f788d39c5a045b2e58b9b5fa58,Rename Class,1,False
0357ce5730cdc3f788d39c5a045b2e58b9b5fa58,Rename Parameter,1,False
035937f08b63482a76c7b722730942ee9df46777,Add Parameter,1,False
035bc1d8e5a519b79fbd83152a82fcbc0606bc35,Change Variable Type,1,False
035bc1d8e5a519b79fbd83152a82fcbc0606bc35,Rename Variable,1,False
0370ef21665c72a8dcfc16c330843264e2410d82,Add Method Annotation,1,False
0370ef21665c72a8dcfc16c330843264e2410d82,Move And Rename Method,1,False
03775f1e8ed0982cb54980c3d8b9673996c9097d,Add Class Annotation,2,False
037fce78d2be3462962def76345f3477c9144df0,Rename Attribute,14,True
037fce78d2be3462962def76345f3477c9144df0,Rename Method,17,True
038f4823316c82e2c3a290be1c4505bace1339c2,Add Attribute Annotation,1,False
0397d148ba00095d5cff18a4f9c0a7a31391e4a5,Change Parameter Type,1,False
0397d148ba00095d5cff18a4f9c0a7a31391e4a5,Change Return Type,1,False
0397d148ba00095d5cff18a4f9c0a7a31391e4a5,Rename Method,2,False
0397d148ba00095d5cff18a4f9c0a7a31391e4a5,Rename Parameter,1,False
03a237d5d2968a5e1fdf96efa546d3296d1b04e9,Rename Attribute,4,True
03a59734cf3e911cb9fcc2e66d61d0a2903ece77,Change Variable Type,5,False
03a59734cf3e911cb9fcc2e66d61d0a2903ece77,Extract Variable,4,False
03a59734cf3e911cb9fcc2e66d61d0a2903ece77,Merge Conditional,1,False
03bae81e4b24c6325c53ce9a39abd6a82f0e624f,Modify Method Annotation,1,False
03bae81e4b24c6325c53ce9a39abd6a82f0e624f,Remove Parameter,2,False
03bae81e4b24c6325c53ce9a39abd6a82f0e624f,Rename Method,2,False
03bbff80e41fa88617bbdd5888f3fd092b42123d,Extract Variable,1,False
03bbff80e41fa88617bbdd5888f3fd092b42123d,Rename Parameter,1,False
03c3067db19c3f7abbc88fd56db2e1b84aaf1f6d,Add Attribute Annotation,1,False
03cad20801b7c97bfd07db5e5cba547eccb9f6d9,Add Class Annotation,1,False
