metric_category,metric_name,observation_count,unique_commit_count,median_delta,mean_delta,std_delta,q1_delta,q3_delta,iqr_delta,min_delta,max_delta,improved_commits,worsened_commits,unchanged_commits,improvement_rate,worsening_rate,wilcoxon_stat,wilcoxon_p_value,rank_biserial_effect,wilcoxon_p_value_fdr
implementation_smell,Magic Number,2952,2952,0.0,-89.51626016260163,4098.945278492636,0.0,1.0,1.0,-219998.0,369.0,184,780,1988,0.06233062330623306,0.26422764227642276,86287.0,1.8930345859084965e-64,-0.6182572614107884,3.596765713226143e-63
implementation_smell,Missing default,2952,2952,0.0,-0.12669376693766937,6.6980616591841065,0.0,0.0,0.0,-362.0,6.0,10,32,2910,0.0033875338753387536,0.01084010840108401,271.5,0.017859242371163087,-0.5238095238095238,0.03231672429067606
method_metric,CC,15022,3805,0.0,-0.36180268938889626,3.7279561328851463,0.0,0.0,0.0,-209.0,76.0,1891,1318,11813,0.12588203967514314,0.08773798428970843,1874046.0,5.397677501624202e-42,0.1785602991586164,5.127793626542991e-41
method_metric,LOC,15022,3805,0.0,-2.4528691252829184,17.49034412528437,0.0,0.0,0.0,-461.0,375.0,3340,3169,8513,0.22234056716815337,0.2109572626814006,8420696.5,8.492242550547536e-47,0.026271316638500537,1.075684056402688e-45
method_metric,PC,15022,3805,0.0,0.1158966848622021,0.8125965371468951,0.0,0.0,0.0,-19.0,7.0,1104,2487,11431,0.07349221142324591,0.1655571827985621,2065330.0,4.078104503815196e-87,-0.38512949039264827,1.5496797114497745e-85
type_metric,DIT,5279,1541,0.0,-5.587800719833302,335.62647330074105,0.0,0.0,0.0,-23661.0,2.0,33,109,5137,0.006251183936351582,0.020647849971585527,2508.0,2.69109722059313e-09,-0.5352112676056338,9.296517671139902e-09
type_metric,FANIN,5279,1541,0.0,0.018564121992801667,1.177243716787082,0.0,0.0,0.0,-50.0,12.0,184,336,4759,0.034855086190566396,0.06364841826103429,48838.0,1.0085713313756553e-08,-0.2923076923076923,3.193809216022908e-08
type_metric,FANOUT,5279,1541,0.0,0.033529077476794844,0.7878920533438645,0.0,0.0,0.0,-16.0,10.0,234,457,4588,0.044326577003220305,0.08656942602765676,89337.5,1.5406839703040943e-09,-0.3227206946454414,5.854599087155559e-09
type_metric,LCOM,5279,1541,0.0,0.008258550342080475,0.3198972215658418,0.0,0.0,0.0,-2.0,2.0,309,360,4610,0.05853381322220117,0.06819473385110816,103093.5,0.07204054304802404,-0.07623318385650224,0.11902350590543102
type_metric,LOC,5279,1541,0.0,-0.39988634211024815,28.23159048399969,0.0,0.0,0.0,-929.0,447.0,687,933,3659,0.13013828376586475,0.176738018564122,592199.0,0.0006347397039998748,-0.15185185185185185,0.0013113146947966788
type_metric,NOF,5279,1541,0.0,0.012691797688956242,1.9408837353371762,0.0,0.0,0.0,-65.0,64.0,290,361,4628,0.05493464671339269,0.06838416366736125,103565.0,0.5897374478974728,-0.10906298003072197,0.6591183241207049
