metric_category,metric_name,motivation_label,observation_count,unique_commit_count,median_delta,mean_delta,q1_delta,q3_delta,improvement_rate,worsening_rate
design_smell,Unutilized Abstraction,maintainability,431,431,0.0,-11.531322505800464,0.0,0.0,0.0765661252900232,0.23665893271461716
design_smell,Unutilized Abstraction,readability,538,538,0.0,-0.09479553903345725,0.0,0.0,0.031598513011152414,0.07806691449814127
design_smell,Unutilized Abstraction,repurpose_reuse,33,33,0.0,0.7272727272727273,0.0,1.0,0.06060606060606061,0.2727272727272727
design_smell,Unutilized Abstraction,slow_performance,21,21,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285
design_smell,Unutilized Abstraction,testability,57,57,0.0,-2.3157894736842106,0.0,1.0,0.03508771929824561,0.2807017543859649
design_smell,Wide Hierarchy,dependency,37,37,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Wide Hierarchy,duplication,8,8,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Wide Hierarchy,hard_to_debug,23,23,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Wide Hierarchy,legacy_code,25,25,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Wide Hierarchy,logical_mismatch,231,231,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Wide Hierarchy,maintainability,431,431,0.0,-0.08816705336426914,0.0,0.0,0.002320185614849188,0.002320185614849188
design_smell,Wide Hierarchy,readability,538,538,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Wide Hierarchy,repurpose_reuse,33,33,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Wide Hierarchy,slow_performance,21,21,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Wide Hierarchy,testability,57,57,0.0,-0.017543859649122806,0.0,0.0,0.017543859649122806,0.0
implementation_smell,Abstract Function Call From Constructor,dependency,37,37,0.0,0.0,0.0,0.0,0.0,0.0
implementation_smell,Abstract Function Call From Constructor,duplication,8,8,0.0,0.0,0.0,0.0,0.0,0.0
implementation_smell,Abstract Function Call From Constructor,hard_to_debug,23,23,0.0,0.0,0.0,0.0,0.0,0.0
implementation_smell,Abstract Function Call From Constructor,legacy_code,25,25,0.0,0.0,0.0,0.0,0.0,0.0
implementation_smell,Abstract Function Call From Constructor,logical_mismatch,231,231,0.0,0.0,0.0,0.0,0.0,0.0
implementation_smell,Abstract Function Call From Constructor,maintainability,431,431,0.0,-0.013921113689095127,0.0,0.0,0.002320185614849188,0.002320185614849188
implementation_smell,Abstract Function Call From Constructor,readability,538,538,0.0,0.0,0.0,0.0,0.0,0.0
implementation_smell,Abstract Function Call From Constructor,repurpose_reuse,33,33,0.0,0.0,0.0,0.0,0.0,0.0
implementation_smell,Abstract Function Call From Constructor,slow_performance,21,21,0.0,0.0,0.0,0.0,0.0,0.0
implementation_smell,Abstract Function Call From Constructor,testability,57,57,0.0,0.0,0.0,0.0,0.0,0.0
implementation_smell,Complex Conditional,dependency,37,37,0.0,1.0,0.0,0.0,0.02702702702702703,0.05405405405405406
implementation_smell,Complex Conditional,duplication,8,8,0.0,0.0,0.0,0.0,0.0,0.0
implementation_smell,Complex Conditional,hard_to_debug,23,23,0.0,0.08695652173913043,0.0,0.0,0.0,0.043478260869565216
implementation_smell,Complex Conditional,legacy_code,25,25,0.0,-0.08,0.0,0.0,0.08,0.0
implementation_smell,Complex Conditional,logical_mismatch,231,231,0.0,0.030303030303030304,0.0,0.0,0.021645021645021644,0.047619047619047616
implementation_smell,Complex Conditional,maintainability,431,431,0.0,-0.5986078886310905,0.0,0.0,0.0069605568445475635,0.06264501160092807
implementation_smell,Complex Conditional,readability,538,538,0.0,0.07806691449814127,0.0,0.0,0.007434944237918215,0.05947955390334572
implementation_smell,Complex Conditional,repurpose_reuse,33,33,0.0,-0.09090909090909091,0.0,0.0,0.030303030303030304,0.0
implementation_smell,Complex Conditional,slow_performance,21,21,0.0,0.14285714285714285,0.0,0.0,0.047619047619047616,0.09523809523809523
implementation_smell,Complex Conditional,testability,57,57,0.0,-1.9649122807017543,0.0,0.0,0.017543859649122806,0.0
implementation_smell,Complex Method,dependency,37,37,0.0,0.918918918918919,0.0,0.0,0.02702702702702703,0.08108108108108109
implementation_smell,Complex Method,duplication,8,8,0.0,-0.25,0.0,0.0,0.125,0.0
implementation_smell,Complex Method,hard_to_debug,23,23,0.0,0.08695652173913043,0.0,0.0,0.0,0.08695652173913043
implementation_smell,Complex Method,legacy_code,25,25,0.0,0.16,0.0,0.0,0.0,0.16
implementation_smell,Complex Method,logical_mismatch,231,231,0.0,0.06060606060606061,0.0,0.0,0.012987012987012988,0.06926406926406926
implementation_smell,Complex Method,maintainability,431,431,0.0,-0.505800464037123,0.0,0.0,0.018561484918793503,0.09048723897911833
implementation_smell,Complex Method,readability,538,538,0.0,0.0762081784386617,0.0,0.0,0.007434944237918215,0.06691449814126393
implementation_smell,Complex Method,repurpose_reuse,33,33,0.0,0.0,0.0,0.0,0.030303030303030304,0.06060606060606061
implementation_smell,Complex Method,slow_performance,21,21,0.0,0.23809523809523808,0.0,0.0,0.047619047619047616,0.14285714285714285
implementation_smell,Complex Method,testability,57,57,0.0,-3.1403508771929824,0.0,0.0,0.017543859649122806,0.0
implementation_smell,Empty catch clause,dependency,37,37,0.0,0.16216216216216217,0.0,0.0,0.02702702702702703,0.05405405405405406
implementation_smell,Empty catch clause,duplication,8,8,0.0,0.0,0.0,0.0,0.0,0.0
implementation_smell,Empty catch clause,hard_to_debug,23,23,0.0,-0.08695652173913043,0.0,0.0,0.043478260869565216,0.0
implementation_smell,Empty catch clause,legacy_code,25,25,0.0,-0.08,0.0,0.0,0.08,0.0
implementation_smell,Empty catch clause,logical_mismatch,231,231,0.0,0.021645021645021644,0.0,0.0,0.004329004329004329,0.012987012987012988
implementation_smell,Empty catch clause,maintainability,431,431,0.0,-1.6937354988399071,0.0,0.0,0.004640371229698376,0.03944315545243619
implementation_smell,Empty catch clause,readability,538,538,0.0,0.04275092936802974,0.0,0.0,0.007434944237918215,0.027881040892193308
implementation_smell,Empty catch clause,repurpose_reuse,33,33,0.0,0.030303030303030304,0.0,0.0,0.030303030303030304,0.030303030303030304
implementation_smell,Empty catch clause,slow_performance,21,21,0.0,0.047619047619047616,0.0,0.0,0.0,0.047619047619047616
implementation_smell,Empty catch clause,testability,57,57,0.0,-0.24561403508771928,0.0,0.0,0.017543859649122806,0.05263157894736842
implementation_smell,Long Identifier,dependency,37,37,0.0,-0.16216216216216217,0.0,0.0,0.02702702702702703,0.02702702702702703
implementation_smell,Long Identifier,duplication,8,8,0.0,0.0,0.0,0.0,0.0,0.0
implementation_smell,Long Identifier,hard_to_debug,23,23,0.0,0.0,0.0,0.0,0.0,0.0
implementation_smell,Long Identifier,legacy_code,25,25,0.0,0.0,0.0,0.0,0.0,0.0
implementation_smell,Long Identifier,logical_mismatch,231,231,0.0,0.0,0.0,0.0,0.0,0.0
implementation_smell,Long Identifier,maintainability,431,431,0.0,-9.064965197215777,0.0,0.0,0.01160092807424594,0.01160092807424594
