commit_sha,metric,before_total,after_total,delta_total,observation_count,improvement_rate_pct
031cc8fc884339033d29ec195a2fe0510727dfd5,WMC,16.0,14.0,-2.0,2,12.5
0350ccf21ea1128bb315fcc13c3881333acb6664,DIT,0.0,0.0,0.0,1,
0350ccf21ea1128bb315fcc13c3881333acb6664,FANIN,1.0,1.0,0.0,1,0.0
0350ccf21ea1128bb315fcc13c3881333acb6664,FANOUT,1.0,1.0,0.0,1,0.0
0350ccf21ea1128bb315fcc13c3881333acb6664,LCOM,-1.0,-1.0,0.0,1,
0350ccf21ea1128bb315fcc13c3881333acb6664,LOC,5.0,5.0,0.0,1,0.0
0350ccf21ea1128bb315fcc13c3881333acb6664,NOF,0.0,0.0,0.0,1,
0350ccf21ea1128bb315fcc13c3881333acb6664,NOM,1.0,1.0,0.0,1,0.0
0350ccf21ea1128bb315fcc13c3881333acb6664,WMC,1.0,1.0,0.0,1,0.0
0357ce5730cdc3f788d39c5a045b2e58b9b5fa58,DIT,0.0,0.0,0.0,1,
0357ce5730cdc3f788d39c5a045b2e58b9b5fa58,FANIN,1.0,1.0,0.0,1,0.0
0357ce5730cdc3f788d39c5a045b2e58b9b5fa58,FANOUT,1.0,1.0,0.0,1,0.0
0357ce5730cdc3f788d39c5a045b2e58b9b5fa58,LCOM,0.0,0.0,0.0,1,
0357ce5730cdc3f788d39c5a045b2e58b9b5fa58,LOC,15.0,15.0,0.0,1,0.0
0357ce5730cdc3f788d39c5a045b2e58b9b5fa58,NOF,1.0,1.0,0.0,1,0.0
0357ce5730cdc3f788d39c5a045b2e58b9b5fa58,NOM,2.0,2.0,0.0,1,0.0
0357ce5730cdc3f788d39c5a045b2e58b9b5fa58,WMC,4.0,4.0,0.0,1,0.0
03775f1e8ed0982cb54980c3d8b9673996c9097d,DIT,0.0,0.0,0.0,2,
03775f1e8ed0982cb54980c3d8b9673996c9097d,FANIN,0.0,0.0,0.0,2,
03775f1e8ed0982cb54980c3d8b9673996c9097d,FANOUT,0.0,0.0,0.0,2,
03775f1e8ed0982cb54980c3d8b9673996c9097d,LCOM,0.0,0.0,0.0,2,
03775f1e8ed0982cb54980c3d8b9673996c9097d,LOC,28.0,28.0,0.0,2,0.0
03775f1e8ed0982cb54980c3d8b9673996c9097d,NOF,3.0,3.0,0.0,2,0.0
03775f1e8ed0982cb54980c3d8b9673996c9097d,NOM,3.0,3.0,0.0,2,0.0
03775f1e8ed0982cb54980c3d8b9673996c9097d,WMC,3.0,3.0,0.0,2,0.0
03cad20801b7c97bfd07db5e5cba547eccb9f6d9,DIT,0.0,0.0,0.0,1,
03cad20801b7c97bfd07db5e5cba547eccb9f6d9,FANIN,0.0,0.0,0.0,1,
03cad20801b7c97bfd07db5e5cba547eccb9f6d9,FANOUT,0.0,0.0,0.0,1,
03cad20801b7c97bfd07db5e5cba547eccb9f6d9,LCOM,-1.0,-1.0,0.0,1,
03cad20801b7c97bfd07db5e5cba547eccb9f6d9,LOC,5.0,8.0,3.0,1,-60.0
03cad20801b7c97bfd07db5e5cba547eccb9f6d9,NOF,0.0,0.0,0.0,1,
03cad20801b7c97bfd07db5e5cba547eccb9f6d9,NOM,1.0,1.0,0.0,1,0.0
03cad20801b7c97bfd07db5e5cba547eccb9f6d9,WMC,1.0,1.0,0.0,1,0.0
03fc488be99d332af7460023e3339a7270d974c6,DIT,0.0,0.0,0.0,2,
03fc488be99d332af7460023e3339a7270d974c6,FANIN,3.0,3.0,0.0,2,0.0
03fc488be99d332af7460023e3339a7270d974c6,FANOUT,2.0,2.0,0.0,2,0.0
03fc488be99d332af7460023e3339a7270d974c6,LCOM,1.3214285714285714,1.1,-0.22142857142857142,2,16.75675675675675
03fc488be99d332af7460023e3339a7270d974c6,LOC,173.0,181.0,8.0,2,-4.624277456647398
03fc488be99d332af7460023e3339a7270d974c6,NOF,4.0,6.0,2.0,2,-50.0
03fc488be99d332af7460023e3339a7270d974c6,NOM,11.0,13.0,2.0,2,-18.181818181818183
03fc488be99d332af7460023e3339a7270d974c6,WMC,33.0,35.0,2.0,2,-6.0606060606060606
046b559c8551a15c143f76ca14756a003b5be810,DIT,0.0,0.0,0.0,1,
046b559c8551a15c143f76ca14756a003b5be810,FANIN,1.0,1.0,0.0,1,0.0
046b559c8551a15c143f76ca14756a003b5be810,FANOUT,0.0,0.0,0.0,1,
046b559c8551a15c143f76ca14756a003b5be810,LCOM,0.5,-1.0,-1.5,1,300.0
046b559c8551a15c143f76ca14756a003b5be810,LOC,95.0,25.0,-70.0,1,73.68421052631578
046b559c8551a15c143f76ca14756a003b5be810,NOF,5.0,5.0,0.0,1,0.0
046b559c8551a15c143f76ca14756a003b5be810,NOM,10.0,0.0,-10.0,1,100.0
046b559c8551a15c143f76ca14756a003b5be810,WMC,10.0,0.0,-10.0,1,100.0
04776b5ccd67b29f353b7c722894f82264bb43d2,DIT,0.0,0.0,0.0,2,
04776b5ccd67b29f353b7c722894f82264bb43d2,FANIN,3.0,3.0,0.0,2,0.0
04776b5ccd67b29f353b7c722894f82264bb43d2,FANOUT,4.0,4.0,0.0,2,0.0
04776b5ccd67b29f353b7c722894f82264bb43d2,LCOM,-2.0,-2.0,0.0,2,
04776b5ccd67b29f353b7c722894f82264bb43d2,LOC,9.0,9.0,0.0,2,0.0
04776b5ccd67b29f353b7c722894f82264bb43d2,NOF,0.0,0.0,0.0,2,
04776b5ccd67b29f353b7c722894f82264bb43d2,NOM,5.0,5.0,0.0,2,0.0
04776b5ccd67b29f353b7c722894f82264bb43d2,WMC,5.0,5.0,0.0,2,0.0
048376d2a8811ce581c029699154b25d6ec6a71c,DIT,0.0,0.0,0.0,1,
048376d2a8811ce581c029699154b25d6ec6a71c,FANIN,1.0,1.0,0.0,1,0.0
048376d2a8811ce581c029699154b25d6ec6a71c,FANOUT,0.0,0.0,0.0,1,
048376d2a8811ce581c029699154b25d6ec6a71c,LCOM,-1.0,-1.0,0.0,1,
048376d2a8811ce581c029699154b25d6ec6a71c,LOC,6.0,6.0,0.0,1,0.0
048376d2a8811ce581c029699154b25d6ec6a71c,NOF,0.0,0.0,0.0,1,
048376d2a8811ce581c029699154b25d6ec6a71c,NOM,4.0,4.0,0.0,1,0.0
048376d2a8811ce581c029699154b25d6ec6a71c,WMC,4.0,4.0,0.0,1,0.0
0495b0c959727458b1d6464550389b56874ec302,DIT,0.0,0.0,0.0,1,
0495b0c959727458b1d6464550389b56874ec302,FANIN,0.0,0.0,0.0,1,
0495b0c959727458b1d6464550389b56874ec302,FANOUT,4.0,4.0,0.0,1,0.0
0495b0c959727458b1d6464550389b56874ec302,LCOM,0.75,0.0,-0.75,1,100.0
0495b0c959727458b1d6464550389b56874ec302,LOC,61.0,55.0,-6.0,1,9.836065573770492
0495b0c959727458b1d6464550389b56874ec302,NOF,2.0,2.0,0.0,1,0.0
0495b0c959727458b1d6464550389b56874ec302,NOM,4.0,2.0,-2.0,1,50.0
0495b0c959727458b1d6464550389b56874ec302,WMC,6.0,4.0,-2.0,1,33.33333333333333
04acbcc10e19b0f26f4169f7fed91e9a0aabc12d,DIT,0.0,0.0,0.0,1,
04acbcc10e19b0f26f4169f7fed91e9a0aabc12d,FANIN,0.0,0.0,0.0,1,
04acbcc10e19b0f26f4169f7fed91e9a0aabc12d,FANOUT,8.0,9.0,1.0,1,-12.5
04acbcc10e19b0f26f4169f7fed91e9a0aabc12d,LCOM,0.0,0.0,0.0,1,
04acbcc10e19b0f26f4169f7fed91e9a0aabc12d,LOC,82.0,201.0,119.0,1,-145.1219512195122
04acbcc10e19b0f26f4169f7fed91e9a0aabc12d,NOF,4.0,4.0,0.0,1,0.0
04acbcc10e19b0f26f4169f7fed91e9a0aabc12d,NOM,7.0,19.0,12.0,1,-171.42857142857142
04acbcc10e19b0f26f4169f7fed91e9a0aabc12d,WMC,7.0,19.0,12.0,1,-171.42857142857142
04be17160599ee922a71bc09356ba53d4047a8e6,DIT,0.0,0.0,0.0,2,
04be17160599ee922a71bc09356ba53d4047a8e6,FANIN,7.0,5.0,-2.0,2,28.57142857142857
04be17160599ee922a71bc09356ba53d4047a8e6,FANOUT,4.0,4.0,0.0,2,0.0
04be17160599ee922a71bc09356ba53d4047a8e6,LCOM,-2.0,-2.0,0.0,2,
04be17160599ee922a71bc09356ba53d4047a8e6,LOC,97.0,97.0,0.0,2,0.0
04be17160599ee922a71bc09356ba53d4047a8e6,NOF,0.0,0.0,0.0,2,
04be17160599ee922a71bc09356ba53d4047a8e6,NOM,7.0,7.0,0.0,2,0.0
04be17160599ee922a71bc09356ba53d4047a8e6,WMC,10.0,10.0,0.0,2,0.0
04f9ffd4f74943a73b563c719022aa59b45c0177,DIT,0.0,0.0,0.0,1,
04f9ffd4f74943a73b563c719022aa59b45c0177,FANIN,0.0,0.0,0.0,1,
04f9ffd4f74943a73b563c719022aa59b45c0177,FANOUT,0.0,0.0,0.0,1,
04f9ffd4f74943a73b563c719022aa59b45c0177,LCOM,-1.0,-1.0,0.0,1,
04f9ffd4f74943a73b563c719022aa59b45c0177,LOC,4.0,4.0,0.0,1,0.0
04f9ffd4f74943a73b563c719022aa59b45c0177,NOF,0.0,0.0,0.0,1,
04f9ffd4f74943a73b563c719022aa59b45c0177,NOM,1.0,1.0,0.0,1,0.0
04f9ffd4f74943a73b563c719022aa59b45c0177,WMC,1.0,1.0,0.0,1,0.0
04fb4648f9a1f40cfff4ddeb66b47d91a36d9dd2,DIT,0.0,0.0,0.0,1,
04fb4648f9a1f40cfff4ddeb66b47d91a36d9dd2,FANIN,0.0,0.0,0.0,1,
04fb4648f9a1f40cfff4ddeb66b47d91a36d9dd2,FANOUT,0.0,1.0,1.0,1,
04fb4648f9a1f40cfff4ddeb66b47d91a36d9dd2,LCOM,0.8275862068965517,0.1724137931034483,-0.6551724137931034,1,79.16666666666666
04fb4648f9a1f40cfff4ddeb66b47d91a36d9dd2,LOC,104.0,106.0,2.0,1,-1.9230769230769231
04fb4648f9a1f40cfff4ddeb66b47d91a36d9dd2,NOF,1.0,2.0,1.0,1,-100.0
04fb4648f9a1f40cfff4ddeb66b47d91a36d9dd2,NOM,29.0,29.0,0.0,1,0.0
04fb4648f9a1f40cfff4ddeb66b47d91a36d9dd2,WMC,29.0,29.0,0.0,1,0.0
0570418f8636e4fcba7754a27f38105ab1c8709d,DIT,0.0,0.0,0.0,1,
0570418f8636e4fcba7754a27f38105ab1c8709d,FANIN,1.0,1.0,0.0,1,0.0
0570418f8636e4fcba7754a27f38105ab1c8709d,FANOUT,1.0,1.0,0.0,1,0.0
0570418f8636e4fcba7754a27f38105ab1c8709d,LCOM,-1.0,-1.0,0.0,1,
0570418f8636e4fcba7754a27f38105ab1c8709d,LOC,5.0,5.0,0.0,1,0.0
0570418f8636e4fcba7754a27f38105ab1c8709d,NOF,0.0,0.0,0.0,1,
0570418f8636e4fcba7754a27f38105ab1c8709d,NOM,1.0,1.0,0.0,1,0.0
