commit_sha,metric,before_total,after_total,delta_total,observation_count,improvement_rate_pct
0336afecaf30ec989fdb4d1947190780de857b4a,CC,2.0,2.0,0.0,2,0.0
0336afecaf30ec989fdb4d1947190780de857b4a,LOC,6.0,6.0,0.0,2,0.0
0336afecaf30ec989fdb4d1947190780de857b4a,PC,0.0,1.0,1.0,2,
033d62fd7e5447639374838c46227f0f25dd0f0f,CC,2.0,2.0,0.0,1,0.0
033d62fd7e5447639374838c46227f0f25dd0f0f,LOC,19.0,20.0,1.0,1,-5.263157894736842
033d62fd7e5447639374838c46227f0f25dd0f0f,PC,1.0,2.0,1.0,1,-100.0
03464551f417b91573c1db43049fa400a3537d52,CC,4.0,4.0,0.0,4,0.0
03464551f417b91573c1db43049fa400a3537d52,LOC,37.0,37.0,0.0,4,0.0
03464551f417b91573c1db43049fa400a3537d52,PC,1.0,1.0,0.0,4,0.0
0350ccf21ea1128bb315fcc13c3881333acb6664,CC,6.0,6.0,0.0,6,0.0
0350ccf21ea1128bb315fcc13c3881333acb6664,LOC,18.0,18.0,0.0,6,0.0
0350ccf21ea1128bb315fcc13c3881333acb6664,PC,4.0,4.0,0.0,6,0.0
035937f08b63482a76c7b722730942ee9df46777,CC,1.0,1.0,0.0,1,0.0
035937f08b63482a76c7b722730942ee9df46777,LOC,4.0,5.0,1.0,1,-25.0
035937f08b63482a76c7b722730942ee9df46777,PC,2.0,3.0,1.0,1,-50.0
0370ef21665c72a8dcfc16c330843264e2410d82,CC,2.0,2.0,0.0,2,0.0
0370ef21665c72a8dcfc16c330843264e2410d82,LOC,6.0,7.0,1.0,2,-16.666666666666664
0370ef21665c72a8dcfc16c330843264e2410d82,PC,4.0,5.0,1.0,2,-25.0
0397d148ba00095d5cff18a4f9c0a7a31391e4a5,CC,3.0,3.0,0.0,2,0.0
0397d148ba00095d5cff18a4f9c0a7a31391e4a5,LOC,22.0,20.0,-2.0,2,9.090909090909092
0397d148ba00095d5cff18a4f9c0a7a31391e4a5,PC,1.0,1.0,0.0,2,0.0
03a59734cf3e911cb9fcc2e66d61d0a2903ece77,CC,4.0,5.0,1.0,1,-25.0
03a59734cf3e911cb9fcc2e66d61d0a2903ece77,LOC,27.0,27.0,0.0,1,0.0
03a59734cf3e911cb9fcc2e66d61d0a2903ece77,PC,2.0,2.0,0.0,1,0.0
03bae81e4b24c6325c53ce9a39abd6a82f0e624f,CC,3.0,3.0,0.0,3,0.0
03bae81e4b24c6325c53ce9a39abd6a82f0e624f,LOC,15.0,14.0,-1.0,3,6.666666666666667
03bae81e4b24c6325c53ce9a39abd6a82f0e624f,PC,2.0,0.0,-2.0,3,100.0
03dbdfc557622aa5daa6e35785780991b2c8f1b6,CC,1.0,1.0,0.0,1,0.0
03dbdfc557622aa5daa6e35785780991b2c8f1b6,LOC,22.0,12.0,-10.0,1,45.45454545454545
03dbdfc557622aa5daa6e35785780991b2c8f1b6,PC,4.0,3.0,-1.0,1,25.0
03dd5e114742b8f38bf33b2df188a935c3f42136,CC,1.0,1.0,0.0,1,0.0
03dd5e114742b8f38bf33b2df188a935c3f42136,LOC,3.0,4.0,1.0,1,-33.33333333333333
03dd5e114742b8f38bf33b2df188a935c3f42136,PC,1.0,2.0,1.0,1,-100.0
03dd9cf26f723b656ad996edeeb16303c7e8c293,CC,1.0,1.0,0.0,1,0.0
03dd9cf26f723b656ad996edeeb16303c7e8c293,LOC,4.0,3.0,-1.0,1,25.0
03dd9cf26f723b656ad996edeeb16303c7e8c293,PC,0.0,0.0,0.0,1,
03fc488be99d332af7460023e3339a7270d974c6,CC,2.0,2.0,0.0,2,0.0
03fc488be99d332af7460023e3339a7270d974c6,LOC,6.0,6.0,0.0,2,0.0
03fc488be99d332af7460023e3339a7270d974c6,PC,2.0,2.0,0.0,2,0.0
